,Node ID,Eastings,Northings,wgsLong,wgsLat
444,992096,837506.4532467341,825697.3474967834,114.188899143,22.370452576
445,992097,837488.4721035957,825688.2251216974,114.188724548,22.370370209
446,992099,837229.94903378,825325.0966842864,114.186214199,22.367091128
447,992100,837229.94903378,825325.0966842864,114.186214199,22.367091128
448,992102,836864.847910203,825096.5261648111,114.182669247,22.365027179
449,992103,836847.0873602089,825087.3325327802,114.182496804,22.364944162
450,992106,836627.0469731567,824950.959312031,114.180360374,22.363712698
451,992107,836627.0469731567,824950.959312031,114.180360374,22.363712698
452,993014,836370.1951106461,824731.2787925452,114.177866575,22.361728898
453,992109,836210.8785405913,824568.9879155029,114.176319792,22.360263325
454,992110,836197.210629954,824554.386949135,114.176187094,22.360131469
455,992112,835928.3867633231,824354.9785477724,114.173577182,22.35833067
